#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12843022	NW_005076880.1	JH762470.1	GPS_002032448.1
GeoFor_1.0	C12843034	NW_005076876.1	JH762466.1	GPS_002032444.1
GeoFor_1.0	C12843052	NW_005076879.1	JH762469.1	GPS_002032447.1
GeoFor_1.0	C12843108	NW_005076890.1	JH762480.1	GPS_002032458.1
GeoFor_1.0	C12843142	NW_005076857.1	JH762447.1	GPS_002032425.1
GeoFor_1.0	C12843164	NW_005076846.1	JH762436.1	GPS_002032414.1
GeoFor_1.0	C12843198	NW_005076896.1	JH762486.1	GPS_002032464.1
GeoFor_1.0	C12843260	NW_005076891.1	JH762481.1	GPS_002032459.1
GeoFor_1.0	C12843272	NW_005076848.1	JH762438.1	GPS_002032416.1
GeoFor_1.0	C12843274	NW_005076867.1	JH762457.1	GPS_002032435.1
GeoFor_1.0	C12843278	NW_005076888.1	JH762478.1	GPS_002032456.1
GeoFor_1.0	C12843282	NW_005076877.1	JH762467.1	GPS_002032445.1
GeoFor_1.0	C12843304	NW_005076855.1	JH762445.1	GPS_002032423.1
GeoFor_1.0	C12843308	NW_005076882.1	JH762472.1	GPS_002032450.1
GeoFor_1.0	C12843378	NW_005076862.1	JH762452.1	GPS_002032430.1
GeoFor_1.0	C12843386	NW_005076881.1	JH762471.1	GPS_002032449.1
GeoFor_1.0	C12843388	NW_005076844.1	JH762434.1	GPS_002032412.1
GeoFor_1.0	C12843400	NW_005076856.1	JH762446.1	GPS_002032424.1
GeoFor_1.0	C12843406	NW_005076851.1	JH762441.1	GPS_002032419.1
GeoFor_1.0	C12843436	NW_005076893.1	JH762483.1	GPS_002032461.1
GeoFor_1.0	C12843438	NW_005076864.1	JH762454.1	GPS_002032432.1
GeoFor_1.0	C12843488	NW_005076895.1	JH762485.1	GPS_002032463.1
GeoFor_1.0	C12843562	NW_005076868.1	JH762458.1	GPS_002032436.1
GeoFor_1.0	C12843566	NW_005076878.1	JH762468.1	GPS_002032446.1
GeoFor_1.0	C12843574	NW_005076850.1	JH762440.1	GPS_002032418.1
GeoFor_1.0	C12843590	NW_005076861.1	JH762451.1	GPS_002032429.1
GeoFor_1.0	C12843604	NW_005076866.1	JH762456.1	GPS_002032434.1
GeoFor_1.0	C12843614	NW_005076898.1	JH762488.1	GPS_002032466.1
GeoFor_1.0	C12843658	NW_005076886.1	JH762476.1	GPS_002032454.1
GeoFor_1.0	C12843666	NW_005076872.1	JH762462.1	GPS_002032440.1
GeoFor_1.0	C12843704	NW_005076830.1	JH762420.1	GPS_002032398.1
GeoFor_1.0	C12843762	NW_005076860.1	JH762450.1	GPS_002032428.1
GeoFor_1.0	C12843822	NW_005076840.1	JH762430.1	GPS_002032408.1
GeoFor_1.0	C12843824	NW_005076870.1	JH762460.1	GPS_002032438.1
GeoFor_1.0	C12843834	NW_005076894.1	JH762484.1	GPS_002032462.1
GeoFor_1.0	C12843926	NW_005076843.1	JH762433.1	GPS_002032411.1
GeoFor_1.0	C12843930	NW_005076854.1	JH762444.1	GPS_002032422.1
GeoFor_1.0	C12843936	NW_005076836.1	JH762426.1	GPS_002032404.1
GeoFor_1.0	C12843958	NW_005076841.1	JH762431.1	GPS_002032409.1
GeoFor_1.0	C12844028	NW_005076852.1	JH762442.1	GPS_002032420.1
GeoFor_1.0	C12844058	NW_005076839.1	JH762429.1	GPS_002032407.1
GeoFor_1.0	C12844084	NW_005076863.1	JH762453.1	GPS_002032431.1
GeoFor_1.0	C12844168	NW_005076883.1	JH762473.1	GPS_002032451.1
GeoFor_1.0	C12844212	NW_005076871.1	JH762461.1	GPS_002032439.1
GeoFor_1.0	C12844224	NW_005076835.1	JH762425.1	GPS_002032403.1
GeoFor_1.0	C12844234	NW_005076887.1	JH762477.1	GPS_002032455.1
GeoFor_1.0	C12844242	NW_005076858.1	JH762448.1	GPS_002032426.1
GeoFor_1.0	C12844250	NW_005076889.1	JH762479.1	GPS_002032457.1
GeoFor_1.0	C12844332	NW_005076845.1	JH762435.1	GPS_002032413.1
GeoFor_1.0	C12844364	NW_005076777.1	JH762367.1	GPS_002032345.1
GeoFor_1.0	C12844416	NW_005076825.1	JH762415.1	GPS_002032393.1
GeoFor_1.0	C12844426	NW_005076778.1	JH762368.1	GPS_002032346.1
GeoFor_1.0	C12844594	NW_005076811.1	JH762401.1	GPS_002032379.1
GeoFor_1.0	C12844610	NW_005076818.1	JH762408.1	GPS_002032386.1
GeoFor_1.0	C12844618	NW_005076826.1	JH762416.1	GPS_002032394.1
GeoFor_1.0	C12844628	NW_005076816.1	JH762406.1	GPS_002032384.1
GeoFor_1.0	C12844674	NW_005076828.1	JH762418.1	GPS_002032396.1
GeoFor_1.0	C12844682	NW_005076789.1	JH762379.1	GPS_002032357.1
GeoFor_1.0	C12844692	NW_005076797.1	JH762387.1	GPS_002032365.1
GeoFor_1.0	C12844818	NW_005076800.1	JH762390.1	GPS_002032368.1
GeoFor_1.0	C12844858	NW_005076780.1	JH762370.1	GPS_002032348.1
GeoFor_1.0	C12844888	NW_005076794.1	JH762384.1	GPS_002032362.1
GeoFor_1.0	C12844948	NW_005076812.1	JH762402.1	GPS_002032380.1
GeoFor_1.0	C12844950	NW_005076804.1	JH762394.1	GPS_002032372.1
GeoFor_1.0	C12844978	NW_005076810.1	JH762400.1	GPS_002032378.1
GeoFor_1.0	C12844980	NW_005076808.1	JH762398.1	GPS_002032376.1
GeoFor_1.0	C12845026	NW_005076790.1	JH762380.1	GPS_002032358.1
GeoFor_1.0	C12845050	NW_005076784.1	JH762374.1	GPS_002032352.1
GeoFor_1.0	C12845100	NW_005076783.1	JH762373.1	GPS_002032351.1
GeoFor_1.0	C12845106	NW_005076820.1	JH762410.1	GPS_002032388.1
GeoFor_1.0	C12845108	NW_005076799.1	JH762389.1	GPS_002032367.1
GeoFor_1.0	C12845110	NW_005076785.1	JH762375.1	GPS_002032353.1
GeoFor_1.0	C12845222	NW_005076795.1	JH762385.1	GPS_002032363.1
GeoFor_1.0	C12845268	NW_005076822.1	JH762412.1	GPS_002032390.1
GeoFor_1.0	C12845282	NW_005076806.1	JH762396.1	GPS_002032374.1
GeoFor_1.0	C12845330	NW_005076802.1	JH762392.1	GPS_002032370.1
GeoFor_1.0	C12845354	NW_005076805.1	JH762395.1	GPS_002032373.1
GeoFor_1.0	C12845386	NW_005076819.1	JH762409.1	GPS_002032387.1
GeoFor_1.0	C12845400	NW_005076807.1	JH762397.1	GPS_002032375.1
GeoFor_1.0	C12845446	NW_005076817.1	JH762407.1	GPS_002032385.1
GeoFor_1.0	C12845480	NW_005076809.1	JH762399.1	GPS_002032377.1
GeoFor_1.0	C12845484	NW_005076791.1	JH762381.1	GPS_002032359.1
GeoFor_1.0	C12845486	NW_005076824.1	JH762414.1	GPS_002032392.1
GeoFor_1.0	C12845508	NW_005076796.1	JH762386.1	GPS_002032364.1
GeoFor_1.0	C12845538	NW_005076786.1	JH762376.1	GPS_002032354.1
GeoFor_1.0	C12845632	NW_005076782.1	JH762372.1	GPS_002032350.1
GeoFor_1.0	C12845652	NW_005076781.1	JH762371.1	GPS_002032349.1
GeoFor_1.0	C12845710	NW_005076827.1	JH762417.1	GPS_002032395.1
GeoFor_1.0	C12845774	NW_005076801.1	JH762391.1	GPS_002032369.1
GeoFor_1.0	C12845796	NW_005076815.1	JH762405.1	GPS_002032383.1
GeoFor_1.0	C12845812	NW_005076821.1	JH762411.1	GPS_002032389.1
GeoFor_1.0	C12845858	NW_005076787.1	JH762377.1	GPS_002032355.1
GeoFor_1.0	C12846018	NW_005076771.1	JH762361.1	GPS_002032339.1
GeoFor_1.0	C12846076	NW_005076757.1	JH762347.1	GPS_002032325.1
GeoFor_1.0	C12846142	NW_005076767.1	JH762357.1	GPS_002032335.1
GeoFor_1.0	C12846182	NW_005076751.1	JH762341.1	GPS_002032319.1
GeoFor_1.0	C12846198	NW_005076761.1	JH762351.1	GPS_002032329.1
GeoFor_1.0	C12846252	NW_005076759.1	JH762349.1	GPS_002032327.1
GeoFor_1.0	C12846256	NW_005076764.1	JH762354.1	GPS_002032332.1
GeoFor_1.0	C12846456	NW_005076769.1	JH762359.1	GPS_002032337.1
GeoFor_1.0	C12846474	NW_005076768.1	JH762358.1	GPS_002032336.1
GeoFor_1.0	C12846476	NW_005076737.1	JH762327.1	GPS_002032305.1
GeoFor_1.0	C12846504	NW_005076770.1	JH762360.1	GPS_002032338.1
GeoFor_1.0	C12846660	NW_005076758.1	JH762348.1	GPS_002032326.1
GeoFor_1.0	C12846662	NW_005076774.1	JH762364.1	GPS_002032342.1
GeoFor_1.0	C12846704	NW_005076766.1	JH762356.1	GPS_002032334.1
GeoFor_1.0	C12846752	NW_005076738.1	JH762328.1	GPS_002032306.1
GeoFor_1.0	C12846786	NW_005076755.1	JH762345.1	GPS_002032323.1
GeoFor_1.0	C12846822	NW_005076742.1	JH762332.1	GPS_002032310.1
GeoFor_1.0	C12846846	NW_005076750.1	JH762340.1	GPS_002032318.1
GeoFor_1.0	C12846848	NW_005076773.1	JH762363.1	GPS_002032341.1
GeoFor_1.0	C12846874	NW_005076772.1	JH762362.1	GPS_002032340.1
GeoFor_1.0	C12846996	NW_005076735.1	JH762325.1	GPS_002032303.1
GeoFor_1.0	C12847028	NW_005076741.1	JH762331.1	GPS_002032309.1
GeoFor_1.0	C12847044	NW_005076763.1	JH762353.1	GPS_002032331.1
GeoFor_1.0	C12847110	NW_005076740.1	JH762330.1	GPS_002032308.1
GeoFor_1.0	C12847136	NW_005076739.1	JH762329.1	GPS_002032307.1
GeoFor_1.0	C12847166	NW_005076744.1	JH762334.1	GPS_002032312.1
GeoFor_1.0	C12847192	NW_005076754.1	JH762344.1	GPS_002032322.1
GeoFor_1.0	C12847236	NW_005076776.1	JH762366.1	GPS_002032344.1
GeoFor_1.0	C12847246	NW_005076752.1	JH762342.1	GPS_002032320.1
GeoFor_1.0	C12847250	NW_005076746.1	JH762336.1	GPS_002032314.1
GeoFor_1.0	C12847274	NW_005076747.1	JH762337.1	GPS_002032315.1
GeoFor_1.0	C12847350	NW_005076749.1	JH762339.1	GPS_002032317.1
GeoFor_1.0	C12847460	NW_005076709.1	JH762299.1	GPS_002032277.1
GeoFor_1.0	C12847534	NW_005076687.1	JH762277.1	GPS_002032255.1
GeoFor_1.0	C12847568	NW_005076706.1	JH762296.1	GPS_002032274.1
GeoFor_1.0	C12847578	NW_005076700.1	JH762290.1	GPS_002032268.1
GeoFor_1.0	C12847626	NW_005076704.1	JH762294.1	GPS_002032272.1
GeoFor_1.0	C12847646	NW_005076729.1	JH762319.1	GPS_002032297.1
GeoFor_1.0	C12847664	NW_005076733.1	JH762323.1	GPS_002032301.1
GeoFor_1.0	C12847668	NW_005076685.1	JH762275.1	GPS_002032253.1
GeoFor_1.0	C12847690	NW_005076714.1	JH762304.1	GPS_002032282.1
GeoFor_1.0	C12847710	NW_005076695.1	JH762285.1	GPS_002032263.1
GeoFor_1.0	C12847756	NW_005076716.1	JH762306.1	GPS_002032284.1
GeoFor_1.0	C12847760	NW_005076712.1	JH762302.1	GPS_002032280.1
GeoFor_1.0	C12847780	NW_005076723.1	JH762313.1	GPS_002032291.1
GeoFor_1.0	C12847800	NW_005076734.1	JH762324.1	GPS_002032302.1
GeoFor_1.0	C12847812	NW_005076722.1	JH762312.1	GPS_002032290.1
GeoFor_1.0	C12847970	NW_005076682.1	JH762272.1	GPS_002032250.1
GeoFor_1.0	C12847976	NW_005076720.1	JH762310.1	GPS_002032288.1
GeoFor_1.0	C12848006	NW_005076692.1	JH762282.1	GPS_002032260.1
GeoFor_1.0	C12848014	NW_005076707.1	JH762297.1	GPS_002032275.1
GeoFor_1.0	C12848112	NW_005076705.1	JH762295.1	GPS_002032273.1
GeoFor_1.0	C12848144	NW_005076728.1	JH762318.1	GPS_002032296.1
GeoFor_1.0	C12848148	NW_005076731.1	JH762321.1	GPS_002032299.1
GeoFor_1.0	C12848172	NW_005076684.1	JH762274.1	GPS_002032252.1
GeoFor_1.0	C12848206	NW_005076697.1	JH762287.1	GPS_002032265.1
GeoFor_1.0	C12848220	NW_005076724.1	JH762314.1	GPS_002032292.1
GeoFor_1.0	C12848248	NW_005076732.1	JH762322.1	GPS_002032300.1
GeoFor_1.0	C12848274	NW_005076727.1	JH762317.1	GPS_002032295.1
GeoFor_1.0	C12848364	NW_005076694.1	JH762284.1	GPS_002032262.1
GeoFor_1.0	C12848462	NW_005076713.1	JH762303.1	GPS_002032281.1
GeoFor_1.0	C12848494	NW_005076708.1	JH762298.1	GPS_002032276.1
GeoFor_1.0	C12848514	NW_005076702.1	JH762292.1	GPS_002032270.1
GeoFor_1.0	C12848520	NW_005076691.1	JH762281.1	GPS_002032259.1
GeoFor_1.0	C12848532	NW_005076715.1	JH762305.1	GPS_002032283.1
GeoFor_1.0	C12848580	NW_005076689.1	JH762279.1	GPS_002032257.1
GeoFor_1.0	C12848588	NW_005076693.1	JH762283.1	GPS_002032261.1
GeoFor_1.0	C12848632	NW_005076703.1	JH762293.1	GPS_002032271.1
GeoFor_1.0	C12848690	NW_005076699.1	JH762289.1	GPS_002032267.1
GeoFor_1.0	C12848730	NW_005076696.1	JH762286.1	GPS_002032264.1
GeoFor_1.0	C12848732	NW_005076683.1	JH762273.1	GPS_002032251.1
GeoFor_1.0	C12848750	NW_005076690.1	JH762280.1	GPS_002032258.1
GeoFor_1.0	C12848816	NW_005076711.1	JH762301.1	GPS_002032279.1
GeoFor_1.0	C12848822	NW_005076698.1	JH762288.1	GPS_002032266.1
GeoFor_1.0	C12848826	NW_005076721.1	JH762311.1	GPS_002032289.1
GeoFor_1.0	C12848840	NW_005076719.1	JH762309.1	GPS_002032287.1
GeoFor_1.0	C12848878	NW_005076686.1	JH762276.1	GPS_002032254.1
GeoFor_1.0	C12848902	NW_005076710.1	JH762300.1	GPS_002032278.1
GeoFor_1.0	C12848958	NW_005076643.1	JH762233.1	GPS_002032211.1
GeoFor_1.0	C12849038	NW_005076680.1	JH762270.1	GPS_002032248.1
GeoFor_1.0	C12849110	NW_005076648.1	JH762238.1	GPS_002032216.1
GeoFor_1.0	C12849126	NW_005076650.1	JH762240.1	GPS_002032218.1
GeoFor_1.0	C12849144	NW_005076653.1	JH762243.1	GPS_002032221.1
GeoFor_1.0	C12849208	NW_005076672.1	JH762262.1	GPS_002032240.1
GeoFor_1.0	C12849310	NW_005076645.1	JH762235.1	GPS_002032213.1
GeoFor_1.0	C12849312	NW_005076679.1	JH762269.1	GPS_002032247.1
GeoFor_1.0	C12849416	NW_005076660.1	JH762250.1	GPS_002032228.1
GeoFor_1.0	C12849444	NW_005076642.1	JH762232.1	GPS_002032210.1
GeoFor_1.0	C12849520	NW_005076635.1	JH762225.1	GPS_002032203.1
GeoFor_1.0	C12849530	NW_005076630.1	JH762220.1	GPS_002032198.1
GeoFor_1.0	C12849536	NW_005076655.1	JH762245.1	GPS_002032223.1
GeoFor_1.0	C12849542	NW_005076668.1	JH762258.1	GPS_002032236.1
GeoFor_1.0	C12849582	NW_005076663.1	JH762253.1	GPS_002032231.1
GeoFor_1.0	C12849736	NW_005076654.1	JH762244.1	GPS_002032222.1
GeoFor_1.0	C12849764	NW_005076647.1	JH762237.1	GPS_002032215.1
GeoFor_1.0	C12849770	NW_005076662.1	JH762252.1	GPS_002032230.1
GeoFor_1.0	C12849778	NW_005076636.1	JH762226.1	GPS_002032204.1
GeoFor_1.0	C12849784	NW_005076640.1	JH762230.1	GPS_002032208.1
GeoFor_1.0	C12849810	NW_005076649.1	JH762239.1	GPS_002032217.1
GeoFor_1.0	C12849830	NW_005076656.1	JH762246.1	GPS_002032224.1
GeoFor_1.0	C12849864	NW_005076639.1	JH762229.1	GPS_002032207.1
GeoFor_1.0	C12849992	NW_005076661.1	JH762251.1	GPS_002032229.1
GeoFor_1.0	C12849996	NW_005076644.1	JH762234.1	GPS_002032212.1
GeoFor_1.0	C12850008	NW_005076652.1	JH762242.1	GPS_002032220.1
GeoFor_1.0	C12850052	NW_005076632.1	JH762222.1	GPS_002032200.1
GeoFor_1.0	C12850088	NW_005076677.1	JH762267.1	GPS_002032245.1
GeoFor_1.0	C12850138	NW_005076657.1	JH762247.1	GPS_002032225.1
GeoFor_1.0	C12850186	NW_005076651.1	JH762241.1	GPS_002032219.1
GeoFor_1.0	C12850188	NW_005076638.1	JH762228.1	GPS_002032206.1
GeoFor_1.0	C12850202	NW_005076673.1	JH762263.1	GPS_002032241.1
GeoFor_1.0	C12850206	NW_005076637.1	JH762227.1	GPS_002032205.1
GeoFor_1.0	C12850246	NW_005076646.1	JH762236.1	GPS_002032214.1
GeoFor_1.0	C12850254	NW_005076633.1	JH762223.1	GPS_002032201.1
GeoFor_1.0	C12850274	NW_005076658.1	JH762248.1	GPS_002032226.1
GeoFor_1.0	C12850308	NW_005076674.1	JH762264.1	GPS_002032242.1
GeoFor_1.0	C12850312	NW_005076631.1	JH762221.1	GPS_002032199.1
GeoFor_1.0	C12850320	NW_005076669.1	JH762259.1	GPS_002032237.1
GeoFor_1.0	C12850378	NW_005076667.1	JH762257.1	GPS_002032235.1
GeoFor_1.0	C12850386	NW_005076659.1	JH762249.1	GPS_002032227.1
GeoFor_1.0	C12850394	NW_005076666.1	JH762256.1	GPS_002032234.1
GeoFor_1.0	C12850448	NW_005076641.1	JH762231.1	GPS_002032209.1
GeoFor_1.0	C12850452	NW_005076676.1	JH762266.1	GPS_002032244.1
GeoFor_1.0	C12850456	NW_005076671.1	JH762261.1	GPS_002032239.1
GeoFor_1.0	C12850478	NW_005076665.1	JH762255.1	GPS_002032233.1
GeoFor_1.0	C12850482	NW_005076675.1	JH762265.1	GPS_002032243.1
GeoFor_1.0	C12850530	NW_005076619.1	JH762209.1	GPS_002032187.1
GeoFor_1.0	C12850550	NW_005076581.1	JH762171.1	GPS_002032149.1
GeoFor_1.0	C12850638	NW_005076583.1	JH762173.1	GPS_002032151.1
GeoFor_1.0	C12850666	NW_005076625.1	JH762215.1	GPS_002032193.1
GeoFor_1.0	C12850686	NW_005076592.1	JH762182.1	GPS_002032160.1
GeoFor_1.0	C12850700	NW_005076627.1	JH762217.1	GPS_002032195.1
GeoFor_1.0	C12850704	NW_005076611.1	JH762201.1	GPS_002032179.1
GeoFor_1.0	C12850724	NW_005076618.1	JH762208.1	GPS_002032186.1
GeoFor_1.0	C12850738	NW_005076608.1	JH762198.1	GPS_002032176.1
GeoFor_1.0	C12850740	NW_005076601.1	JH762191.1	GPS_002032169.1
GeoFor_1.0	C12850760	NW_005076587.1	JH762177.1	GPS_002032155.1
GeoFor_1.0	C12850792	NW_005076599.1	JH762189.1	GPS_002032167.1
GeoFor_1.0	C12850830	NW_005076595.1	JH762185.1	GPS_002032163.1
GeoFor_1.0	C12850892	NW_005076604.1	JH762194.1	GPS_002032172.1
GeoFor_1.0	C12850958	NW_005076589.1	JH762179.1	GPS_002032157.1
GeoFor_1.0	C12851020	NW_005076598.1	JH762188.1	GPS_002032166.1
GeoFor_1.0	C12851042	NW_005076580.1	JH762170.1	GPS_002032148.1
GeoFor_1.0	C12851062	NW_005076617.1	JH762207.1	GPS_002032185.1
GeoFor_1.0	C12851084	NW_005076626.1	JH762216.1	GPS_002032194.1
GeoFor_1.0	C12851154	NW_005076620.1	JH762210.1	GPS_002032188.1
GeoFor_1.0	C12851184	NW_005076594.1	JH762184.1	GPS_002032162.1
GeoFor_1.0	C12851230	NW_005076623.1	JH762213.1	GPS_002032191.1
GeoFor_1.0	C12851244	NW_005076585.1	JH762175.1	GPS_002032153.1
GeoFor_1.0	C12851258	NW_005076582.1	JH762172.1	GPS_002032150.1
GeoFor_1.0	C12851408	NW_005076593.1	JH762183.1	GPS_002032161.1
GeoFor_1.0	C12851420	NW_005076590.1	JH762180.1	GPS_002032158.1
GeoFor_1.0	C12851458	NW_005076628.1	JH762218.1	GPS_002032196.1
GeoFor_1.0	C12851460	NW_005076622.1	JH762212.1	GPS_002032190.1
GeoFor_1.0	C12851462	NW_005076609.1	JH762199.1	GPS_002032177.1
GeoFor_1.0	C12851524	NW_005076607.1	JH762197.1	GPS_002032175.1
GeoFor_1.0	C12851530	NW_005076616.1	JH762206.1	GPS_002032184.1
GeoFor_1.0	C12851534	NW_005076612.1	JH762202.1	GPS_002032180.1
GeoFor_1.0	C12851546	NW_005076615.1	JH762205.1	GPS_002032183.1
GeoFor_1.0	C12851588	NW_005076621.1	JH762211.1	GPS_002032189.1
GeoFor_1.0	C12851596	NW_005076588.1	JH762178.1	GPS_002032156.1
GeoFor_1.0	C12851614	NW_005076597.1	JH762187.1	GPS_002032165.1
GeoFor_1.0	C12851634	NW_005076610.1	JH762200.1	GPS_002032178.1
GeoFor_1.0	C12851674	NW_005076586.1	JH762176.1	GPS_002032154.1
GeoFor_1.0	C12851728	NW_005076614.1	JH762204.1	GPS_002032182.1
GeoFor_1.0	C12851754	NW_005076603.1	JH762193.1	GPS_002032171.1
GeoFor_1.0	C12851854	NW_005076596.1	JH762186.1	GPS_002032164.1
GeoFor_1.0	C12851892	NW_005076613.1	JH762203.1	GPS_002032181.1
GeoFor_1.0	C12851906	NW_005076600.1	JH762190.1	GPS_002032168.1
GeoFor_1.0	C12851922	NW_005076605.1	JH762195.1	GPS_002032173.1
GeoFor_1.0	C12851924	NW_005076591.1	JH762181.1	GPS_002032159.1
GeoFor_1.0	C12851942	NW_005076584.1	JH762174.1	GPS_002032152.1
GeoFor_1.0	C12852044	NW_005076629.1	JH762219.1	GPS_002032197.1
GeoFor_1.0	C12852060	NW_005076606.1	JH762196.1	GPS_002032174.1
GeoFor_1.0	C12852074	NW_005076602.1	JH762192.1	GPS_002032170.1
GeoFor_1.0	C12852088	NW_005076548.1	JH762138.1	GPS_002032116.1
GeoFor_1.0	C12852098	NW_005076571.1	JH762161.1	GPS_002032139.1
GeoFor_1.0	C12852118	NW_005076576.1	JH762166.1	GPS_002032144.1
GeoFor_1.0	C12852120	NW_005076523.1	JH762113.1	GPS_002032091.1
GeoFor_1.0	C12852132	NW_005076553.1	JH762143.1	GPS_002032121.1
GeoFor_1.0	C12852218	NW_005076526.1	JH762116.1	GPS_002032094.1
GeoFor_1.0	C12852260	NW_005076546.1	JH762136.1	GPS_002032114.1
GeoFor_1.0	C12852276	NW_005076529.1	JH762119.1	GPS_002032097.1
GeoFor_1.0	C12852324	NW_005076541.1	JH762131.1	GPS_002032109.1
GeoFor_1.0	C12852334	NW_005076566.1	JH762156.1	GPS_002032134.1
GeoFor_1.0	C12852366	NW_005076535.1	JH762125.1	GPS_002032103.1
GeoFor_1.0	C12852394	NW_005076545.1	JH762135.1	GPS_002032113.1
GeoFor_1.0	C12852448	NW_005076550.1	JH762140.1	GPS_002032118.1
GeoFor_1.0	C12852508	NW_005076530.1	JH762120.1	GPS_002032098.1
GeoFor_1.0	C12852512	NW_005076525.1	JH762115.1	GPS_002032093.1
GeoFor_1.0	C12852548	NW_005076577.1	JH762167.1	GPS_002032145.1
GeoFor_1.0	C12852586	NW_005076524.1	JH762114.1	GPS_002032092.1
GeoFor_1.0	C12852594	NW_005076564.1	JH762154.1	GPS_002032132.1
GeoFor_1.0	C12852626	NW_005076549.1	JH762139.1	GPS_002032117.1
GeoFor_1.0	C12852628	NW_005076569.1	JH762159.1	GPS_002032137.1
GeoFor_1.0	C12852660	NW_005076565.1	JH762155.1	GPS_002032133.1
GeoFor_1.0	C12852672	NW_005076579.1	JH762169.1	GPS_002032147.1
GeoFor_1.0	C12852744	NW_005076522.1	JH762112.1	GPS_002032090.1
GeoFor_1.0	C12852764	NW_005076562.1	JH762152.1	GPS_002032130.1
GeoFor_1.0	C12852794	NW_005076572.1	JH762162.1	GPS_002032140.1
GeoFor_1.0	C12852804	NW_005076568.1	JH762158.1	GPS_002032136.1
GeoFor_1.0	C12852818	NW_005076528.1	JH762118.1	GPS_002032096.1
GeoFor_1.0	C12852966	NW_005076563.1	JH762153.1	GPS_002032131.1
GeoFor_1.0	C12852984	NW_005076573.1	JH762163.1	GPS_002032141.1
GeoFor_1.0	C12853010	NW_005076561.1	JH762151.1	GPS_002032129.1
GeoFor_1.0	C12853012	NW_005076533.1	JH762123.1	GPS_002032101.1
GeoFor_1.0	C12853064	NW_005076542.1	JH762132.1	GPS_002032110.1
GeoFor_1.0	C12853100	NW_005076536.1	JH762126.1	GPS_002032104.1
GeoFor_1.0	C12853126	NW_005076551.1	JH762141.1	GPS_002032119.1
GeoFor_1.0	C12853230	NW_005076570.1	JH762160.1	GPS_002032138.1
GeoFor_1.0	C12853232	NW_005076539.1	JH762129.1	GPS_002032107.1
GeoFor_1.0	C12853320	NW_005076557.1	JH762147.1	GPS_002032125.1
GeoFor_1.0	C12853352	NW_005076532.1	JH762122.1	GPS_002032100.1
GeoFor_1.0	C12853378	NW_005076578.1	JH762168.1	GPS_002032146.1
GeoFor_1.0	C12853404	NW_005076547.1	JH762137.1	GPS_002032115.1
GeoFor_1.0	C12853432	NW_005076567.1	JH762157.1	GPS_002032135.1
GeoFor_1.0	C12853458	NW_005076560.1	JH762150.1	GPS_002032128.1
GeoFor_1.0	C12853482	NW_005076543.1	JH762133.1	GPS_002032111.1
GeoFor_1.0	C12853498	NW_005076558.1	JH762148.1	GPS_002032126.1
GeoFor_1.0	C12853536	NW_005076540.1	JH762130.1	GPS_002032108.1
GeoFor_1.0	C12853538	NW_005076531.1	JH762121.1	GPS_002032099.1
GeoFor_1.0	C12853546	NW_005076552.1	JH762142.1	GPS_002032120.1
GeoFor_1.0	C12853588	NW_005076556.1	JH762146.1	GPS_002032124.1
GeoFor_1.0	C12853596	NW_005076574.1	JH762164.1	GPS_002032142.1
GeoFor_1.0	C12853646	NW_005076534.1	JH762124.1	GPS_002032102.1
GeoFor_1.0	C12853675	NW_005076515.1	JH762105.1	GPS_002032083.1
GeoFor_1.0	C12853679	NW_005076481.1	JH762071.1	GPS_002032049.1
GeoFor_1.0	C12853689	NW_005076492.1	JH762082.1	GPS_002032060.1
GeoFor_1.0	C12853709	NW_005076496.1	JH762086.1	GPS_002032064.1
GeoFor_1.0	C12853785	NW_005076497.1	JH762087.1	GPS_002032065.1
GeoFor_1.0	C12853821	NW_005076498.1	JH762088.1	GPS_002032066.1
GeoFor_1.0	C12853865	NW_005076518.1	JH762108.1	GPS_002032086.1
GeoFor_1.0	C12853893	NW_005076507.1	JH762097.1	GPS_002032075.1
GeoFor_1.0	C12853897	NW_005076505.1	JH762095.1	GPS_002032073.1
GeoFor_1.0	C12853899	NW_005076489.1	JH762079.1	GPS_002032057.1
GeoFor_1.0	C12853939	NW_005076513.1	JH762103.1	GPS_002032081.1
GeoFor_1.0	C12853977	NW_005076477.1	JH762067.1	GPS_002032045.1
GeoFor_1.0	C12854007	NW_005076501.1	JH762091.1	GPS_002032069.1
GeoFor_1.0	C12854009	NW_005076479.1	JH762069.1	GPS_002032047.1
GeoFor_1.0	C12854017	NW_005076516.1	JH762106.1	GPS_002032084.1
GeoFor_1.0	C12854079	NW_005076484.1	JH762074.1	GPS_002032052.1
GeoFor_1.0	C12854145	NW_005076499.1	JH762089.1	GPS_002032067.1
GeoFor_1.0	C12854151	NW_005076494.1	JH762084.1	GPS_002032062.1
GeoFor_1.0	C12854165	NW_005076486.1	JH762076.1	GPS_002032054.1
GeoFor_1.0	C12854187	NW_005076511.1	JH762101.1	GPS_002032079.1
GeoFor_1.0	C12854239	NW_005076503.1	JH762093.1	GPS_002032071.1
GeoFor_1.0	C12854283	NW_005076502.1	JH762092.1	GPS_002032070.1
GeoFor_1.0	C12854293	NW_005076482.1	JH762072.1	GPS_002032050.1
GeoFor_1.0	C12854313	NW_005076476.1	JH762066.1	GPS_002032044.1
