#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12734006	NW_005081455.1	JH767045.1	GPS_002037023.1
GeoFor_1.0	C12734034	NW_005081483.1	JH767073.1	GPS_002037051.1
GeoFor_1.0	C12734062	NW_005081502.1	JH767092.1	GPS_002037070.1
GeoFor_1.0	C12734078	NW_005081451.1	JH767041.1	GPS_002037019.1
GeoFor_1.0	C12734086	NW_005081520.1	JH767110.1	GPS_002037088.1
GeoFor_1.0	C12734226	NW_005081481.1	JH767071.1	GPS_002037049.1
GeoFor_1.0	C12734246	NW_005081504.1	JH767094.1	GPS_002037072.1
GeoFor_1.0	C12734302	NW_005081413.1	JH767003.1	GPS_002036981.1
GeoFor_1.0	C12734318	NW_005081421.1	JH767011.1	GPS_002036989.1
GeoFor_1.0	C12734330	NW_005081389.1	JH766979.1	GPS_002036957.1
GeoFor_1.0	C12734348	NW_005081361.1	JH766951.1	GPS_002036929.1
GeoFor_1.0	C12734368	NW_005081352.1	JH766942.1	GPS_002036920.1
GeoFor_1.0	C12734378	NW_005081420.1	JH767010.1	GPS_002036988.1
GeoFor_1.0	C12734430	NW_005081357.1	JH766947.1	GPS_002036925.1
GeoFor_1.0	C12734432	NW_005081400.1	JH766990.1	GPS_002036968.1
GeoFor_1.0	C12734452	NW_005081427.1	JH767017.1	GPS_002036995.1
GeoFor_1.0	C12734474	NW_005081391.1	JH766981.1	GPS_002036959.1
GeoFor_1.0	C12734520	NW_005081408.1	JH766998.1	GPS_002036976.1
GeoFor_1.0	C12734586	NW_005081418.1	JH767008.1	GPS_002036986.1
GeoFor_1.0	C12734720	NW_005081396.1	JH766986.1	GPS_002036964.1
GeoFor_1.0	C12734722	NW_005081424.1	JH767014.1	GPS_002036992.1
GeoFor_1.0	C12734758	NW_005081359.1	JH766949.1	GPS_002036927.1
GeoFor_1.0	C12734770	NW_005081392.1	JH766982.1	GPS_002036960.1
GeoFor_1.0	C12734786	NW_005081379.1	JH766969.1	GPS_002036947.1
GeoFor_1.0	C12734848	NW_005081347.1	JH766937.1	GPS_002036915.1
